"video","output","audio","audio_path","audio_duration","start_offset_seconds"
"洛克王国世界_种族值TOP100","E:\luokewangguo\AI漫剧\排行榜\洛克王国世界_种族值TOP100_滚动播放_60秒_游戏原声BGM版.mp4","海凌工作室 - 血界轰鸣.flac","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 血界轰鸣.flac","107.6","23"
"洛克王国世界_物攻种族值TOP100","E:\luokewangguo\AI漫剧\排行榜\洛克王国世界_物攻种族值TOP100_滚动播放_60秒_游戏原声BGM版.mp4","海凌工作室 - 光辉dimo.ogg","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 光辉dimo.ogg","241.95","106"
"洛克王国世界_法攻种族值TOP100","E:\luokewangguo\AI漫剧\排行榜\洛克王国世界_法攻种族值TOP100_滚动播放_60秒_游戏原声BGM版.mp4","海凌工作室 - 光之dimo·大暑.flac","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 光之dimo·大暑.flac","212.93","143"
"洛克王国世界_速度种族值TOP100","E:\luokewangguo\AI漫剧\排行榜\洛克王国世界_速度种族值TOP100_滚动播放_60秒_游戏原声BGM版.mp4","海凌工作室 - 动感节奏.flac","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 动感节奏.flac","271.95","89"
